Timestamp,What is your general opinion on the NSA?,How familiar are you with function of the NSA (United States National Security Agency)?,Where do you live?,How familiar are you with actions of Edward Snowden in relation to the NSA activities?,How would you judge your level of proficiency in using information technology?,Did the NSA revelations (information disseminated by Edward Snowden) change your opinion of the NSA?,Do you find NSA revelations concerning?,Did the NSA revelations increase your information security awareness?,,,
1.14.2015 14:58:31,Extremely negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:05:11,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 15:05:37,Decidedly negative,Very familiar,EU,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 15:09:52,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Greatly increased,,,
1.14.2015 15:21:23,Decidedly negative,Reasonably familiar,EU,Very familiar,Reasonably proficient,Did not influence,Decidedly concerning,Somewhat increased,,,
1.14.2015 15:25:32,Neutral,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Did not influence,Slightly concerning,Not at all,,,
1.14.2015 15:31:18,Slightly positive,Somewhat familiar,EU,Very familiar,Very proficient,Somewhat diminished,Slightly concerning,Not at all,,,
1.14.2015 15:35:28,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Slightly concerning,Somewhat increased,,,
1.14.2015 15:41:09,Somewhat positive,Reasonably familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat improved,Not concerning at all,Slightly increased,,,
1.14.2015 15:43:48,Slightly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.14.2015 15:44:59,Extremely negative,Somewhat familiar,EU,Somewhat familiar,Somewhat proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:46:10,Somewhat negative,Very familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:49:23,Extremely negative,Very familiar,USA,Very familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:53:30,Decidedly negative,Reasonably familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 16:07:16,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 16:10:12,Neutral,Somewhat familiar,USA,Reasonably familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 16:10:18,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 16:22:19,Neutral,Very familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Decidedly concerning,Not at all,,,
1.14.2015 16:27:03,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 16:30:39,Neutral,Somewhat familiar,EU,Very familiar,Very proficient,Did not influence,Not concerning at all,Somewhat increased,,,
1.14.2015 16:40:50,Decidedly positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 16:49:24,Somewhat positive,Somewhat familiar,USA,Somewhat familiar,Somewhat proficient,Slightly diminished,Not concerning at all,Not at all,,,
1.14.2015 16:53:41,Slightly negative,Somewhat familiar,USA,Slightly familiar,Very proficient,Slightly diminished,Somewhat concerning,Not at all,,,
1.14.2015 16:54:17,Extremely negative,Somewhat familiar,Other,Slightly familiar,Somewhat proficient,Somewhat diminished,Slightly concerning,Slightly increased,,,
1.14.2015 16:57:01,Decidedly positive,Somewhat familiar,USA,Not familiar at all,Very proficient,Did not influence,Not concerning at all,Decidedly increased,,,
1.14.2015 17:03:24,Extremely negative,Reasonably familiar,EU,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:04:02,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:05:24,Extremely negative,Somewhat familiar,Other,Reasonably familiar,Reasonably proficient,Did not influence,Decidedly concerning,Not at all,,,
1.14.2015 17:06:55,Neutral,Slightly familiar,EU,Not familiar at all,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 17:08:20,Slightly negative,Somewhat familiar,EU,Somewhat familiar,Reasonably proficient,Did not influence,Somewhat concerning,Slightly increased,,,
1.14.2015 17:08:31,Extremely negative,Very familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:12:30,Somewhat positive,Somewhat familiar,USA,Reasonably familiar,Not proficient at all,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 17:15:53,Decidedly negative,Slightly familiar,EU,Somewhat familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:16:47,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:17:32,Somewhat negative,Slightly familiar,EU,Somewhat familiar,Reasonably proficient,Greatly diminished,Somewhat concerning,Not at all,,,
1.14.2015 17:20:56,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:25:29,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:26:33,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Not at all,,,
1.14.2015 17:28:00,Somewhat positive,Reasonably familiar,USA,Somewhat familiar,Very proficient,Did not influence,Slightly concerning,Somewhat increased,,,
1.14.2015 17:35:22,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 17:36:15,Somewhat negative,Reasonably familiar,EU,Reasonably familiar,Not proficient at all,Somewhat diminished,Very concerning,Slightly increased,,,
1.14.2015 17:41:21,Somewhat negative,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 17:50:54,Somewhat positive,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Not concerning at all,Slightly increased,,,
1.14.2015 17:54:57,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:56:01,Decidedly negative,Very familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Slightly concerning,Decidedly increased,,,
1.14.2015 17:56:33,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:57:09,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 18:01:02,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Somewhat increased,,,
1.14.2015 18:07:01,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.14.2015 18:07:05,Slightly positive,Slightly familiar,EU,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Slightly increased,,,
1.14.2015 18:12:51,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Somewhat proficient,Slightly diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 18:21:45,Somewhat positive,Very familiar,USA,Somewhat familiar,Very proficient,Slightly improved,Not concerning at all,Slightly increased,,,
1.14.2015 18:27:14,Slightly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Somewhat concerning,Decidedly increased,,,
1.14.2015 18:29:42,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Greatly increased,,,
1.14.2015 18:29:51,Slightly positive,Somewhat familiar,EU,Very familiar,Very proficient,Slightly diminished,Slightly concerning,Not at all,,,
1.14.2015 18:31:29,Neutral,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Greatly increased,,,
1.14.2015 18:33:01,Somewhat negative,Somewhat familiar,EU,Somewhat familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 18:41:32,Somewhat positive,Very familiar,USA,Somewhat familiar,Very proficient,Slightly diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 18:43:26,Slightly positive,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Did not influence,Slightly concerning,Decidedly increased,,,
1.14.2015 18:45:00,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Slightly proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 18:45:32,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 18:49:37,Decidedly negative,Reasonably familiar,EU,Somewhat familiar,Very proficient,Did not influence,Decidedly concerning,Not at all,,,
1.14.2015 18:52:22,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.14.2015 18:56:58,Neutral,Somewhat familiar,USA,Slightly familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Not at all,,,
1.14.2015 18:58:42,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 19:00:33,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Did not influence,Very concerning,Slightly increased,,,
1.14.2015 19:02:27,Slightly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Slightly concerning,Somewhat increased,,,
1.14.2015 19:04:12,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 19:05:46,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 19:10:27,Extremely negative,Reasonably familiar,Other,Very familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.14.2015 19:13:43,Decidedly negative,Reasonably familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 19:15:58,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.14.2015 19:17:28,Slightly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Somewhat increased,,,
1.14.2015 19:18:40,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Not at all,,,
1.14.2015 19:21:50,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 19:22:32,Extremely negative,Very familiar,USA,Reasonably familiar,Very proficient,Did not influence,Decidedly concerning,Slightly increased,,,
1.14.2015 19:23:37,Somewhat negative,Very familiar,USA,Very familiar,Reasonably proficient,Did not influence,Slightly concerning,Somewhat increased,,,
1.14.2015 19:26:03,Decidedly negative,Slightly familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 19:26:05,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 19:26:41,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 19:27:06,Neutral,Very familiar,USA,Very familiar,Very proficient,Somewhat diminished,Slightly concerning,Slightly increased,,,
1.14.2015 19:28:22,Somewhat negative,Slightly familiar,USA,Not familiar at all,Not proficient at all,Did not influence,Slightly concerning,Not at all,,,
1.14.2015 19:40:15,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.14.2015 19:40:54,Neutral,Very familiar,USA,Very familiar,Very proficient,Did not influence,Decidedly concerning,Somewhat increased,,,
1.14.2015 19:44:14,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 19:52:38,Neutral,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Decidedly concerning,Not at all,,,
1.14.2015 20:06:40,Somewhat negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Did not influence,Slightly concerning,Somewhat increased,,,
1.14.2015 20:14:38,Somewhat negative,Reasonably familiar,EU,Very familiar,Very proficient,Slightly diminished,Decidedly concerning,Not at all,,,
1.14.2015 20:14:54,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 20:15:47,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 20:19:48,Decidedly negative,Very familiar,Other,Very familiar,Very proficient,Did not influence,Very concerning,Not at all,,,
1.14.2015 20:27:14,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Slightly proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 20:29:34,Extremely negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.14.2015 20:31:41,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 20:33:08,Somewhat negative,Somewhat familiar,USA,Slightly familiar,Very proficient,Somewhat diminished,Slightly concerning,Decidedly increased,,,
1.14.2015 20:34:10,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 20:34:16,Slightly positive,Very familiar,USA,Very familiar,Very proficient,Slightly diminished,Very concerning,Greatly increased,,,
1.14.2015 20:36:44,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 20:38:33,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 20:43:28,Extremely negative,Very familiar,USA,Somewhat familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 20:47:18,Extremely negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 20:49:16,Extremely negative,Very familiar,USA,Reasonably familiar,Very proficient,Did not influence,Slightly concerning,Not at all,,,
1.14.2015 20:50:27,Decidedly negative,Reasonably familiar,EU,Very familiar,Very proficient,Slightly diminished,Very concerning,Slightly increased,,,
1.14.2015 20:53:55,Somewhat negative,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 21:02:47,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 21:11:10,Somewhat negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Slightly concerning,Not at all,,,
1.14.2015 21:14:15,Decidedly negative,Reasonably familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 21:16:23,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Did not influence,Very concerning,Not at all,,,
1.14.2015 21:24:02,Slightly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 21:27:53,Slightly positive,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Not concerning at all,Slightly increased,,,
1.14.2015 21:34:16,Extremely positive,Somewhat familiar,USA,Slightly familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 21:35:35,Extremely negative,Reasonably familiar,Other,Very familiar,Very proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 21:35:50,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 21:36:18,Neutral,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Somewhat concerning,Not at all,,,
1.14.2015 21:37:03,Decidedly negative,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.14.2015 21:37:17,Decidedly negative,Somewhat familiar,EU,Slightly familiar,Reasonably proficient,Greatly diminished,Very concerning,Not at all,,,
1.14.2015 21:41:03,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Very concerning,Somewhat increased,,,
1.14.2015 21:41:14,Somewhat positive,Reasonably familiar,USA,Very familiar,Somewhat proficient,Did not influence,Very concerning,Somewhat increased,,,
1.14.2015 21:41:31,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 21:44:36,Neutral,Not familiar at all,EU,Not familiar at all,Somewhat proficient,Did not influence,Not concerning at all,Slightly increased,,,
1.14.2015 21:48:45,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 21:55:50,Decidedly negative,Reasonably familiar,EU,Very familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Not at all,,,
1.14.2015 21:56:11,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 22:04:01,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Somewhat concerning,Decidedly increased,,,
1.14.2015 22:08:41,Decidedly positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 22:18:28,Extremely negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 22:20:30,Somewhat positive,Very familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Slightly concerning,Not at all,,,
1.14.2015 22:20:49,Neutral,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Slightly concerning,Not at all,,,
1.14.2015 22:22:26,Slightly negative,Reasonably familiar,USA,Somewhat familiar,Somewhat proficient,Slightly diminished,Slightly concerning,Slightly increased,,,
1.14.2015 22:23:35,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 22:24:54,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.14.2015 22:27:29,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 22:28:11,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Slightly diminished,Decidedly concerning,Greatly increased,,,
1.14.2015 22:32:33,Decidedly negative,Very familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 22:32:54,Extremely negative,Very familiar,USA,Very familiar,Reasonably proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 22:37:19,Somewhat negative,Somewhat familiar,USA,Not familiar at all,Very proficient,Did not influence,Somewhat concerning,Not at all,,,
1.14.2015 22:46:47,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.14.2015 22:48:55,Slightly negative,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Decidedly increased,,,
1.14.2015 22:59:35,Decidedly negative,Reasonably familiar,EU,Somewhat familiar,Very proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 23:01:44,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Very concerning,Decidedly increased,,,
1.14.2015 23:04:03,Slightly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Somewhat concerning,Somewhat increased,,,
